"Upload images for this product","Upload images for this product"
"+ Start Uploading My Own Images","+ Start Uploading My Own Images"
"Upload Images","Upload Images"
"Add Your Images:","Add Your Images:"
"Thank you! Your uploaded images will appear on the product page once approved by website administrator.","Thank you! Your uploaded images will appear on the product page once approved by website administrator."
"No files were uploaded.","No files were uploaded."
"No files specified.","No files specified."
"Incorrect product.","Incorrect product."
"Must log-in to upload images.","Must log-in to upload images."
"Invalid image.","Invalid image."
"Product does not exist.","Product does not exist."
"This image no longer exists.","This image no longer exists."
"The image has been saved.","The image has been saved."
"An error occurred while saving the image: ","An error occurred while saving the image: "
"Image approved.","Image approved."
"Image declined.","Image declined."
"Image Title","Image Title"
"Thumbnail","Thumbnail"
"Product Name","Product Name"
"Product SKU","Product SKU"
"Customer E-mail","Customer E-mail"
"Approval Status","Approval Status"
"Pending","Pending"
"Approved","Approved"
"Declined","Declined"
"Shown In Main Product Images","Shown In Main Product Images"
"Shown In Customer Images","Shown In Customer Images"
"Approve --> Product Images","Approve --> Product Images"
"Approve --> Customer Images","Approve --> Customer Images"
"Approve --> Both","Approve --> Both"
"Decline","Decline"
"Delete","Delete"
"Image deleted.","Image deleted."
"Images deleted.","Images deleted."
